Round,Date,Team1,FThome,FTaway,HThome,HTaway, Team2,,1,2,Description
1,(Fri) 11 Aug 2017 (32),Arsenal FC,4,3,2,2,Leicester City FC,,Arsenal FC ,Leicester City FC,Arsenal FC   Vs. Leicester City FC
1,(Sat) 12 Aug 2017 (32),Brighton & Hove Albion FC,0,2,0,0,Manchester City FC,,Brighton & Hove Albion FC ,Manchester City FC,Brighton & Hove Albion FC   Vs. Manchester City FC
1,(Sat) 12 Aug 2017 (32),Chelsea FC,2,3,0,3,Burnley FC,,Chelsea FC,Burnley FC,Chelsea FC  Vs. Burnley FC
1,(Sat) 12 Aug 2017 (32),Crystal Palace FC,0,3,0,2,Huddersfield Town AFC,,Crystal Palace FC,Huddersfield Town AFC,Crystal Palace FC  Vs. Huddersfield Town AFC
1,(Sat) 12 Aug 2017 (32),Everton FC,1,0,1,0,Stoke City FC,,Everton FC,Stoke City FC,Everton FC  Vs. Stoke City FC
1,(Sat) 12 Aug 2017 (32),Southampton FC,0,0,0,0,Swansea City AFC,,Southampton FC,Swansea City AFC,Southampton FC  Vs. Swansea City AFC
1,(Sat) 12 Aug 2017 (32),Watford FC,3,3,2,1,Liverpool FC,,Watford FC,Liverpool FC,Watford FC  Vs. Liverpool FC
1,(Sat) 12 Aug 2017 (32),West Bromwich Albion FC,1,0,1,0,AFC Bournemouth,,West Bromwich Albion FC,AFC Bournemouth,West Bromwich Albion FC  Vs. AFC Bournemouth
1,(Sun) 13 Aug 2017 (32),Manchester United FC,4,0,1,0,West Ham United FC,,Manchester United FC,West Ham United FC,Manchester United FC  Vs. West Ham United FC
1,(Sun) 13 Aug 2017 (32),Newcastle United FC,0,2,0,0,Tottenham Hotspur FC,,Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC  Vs. Tottenham Hotspur FC
2,(Sat) 19 Aug 2017 (33),AFC Bournemouth,0,2,0,0,Watford FC,,AFC Bournemouth,Watford FC,AFC Bournemouth  Vs. Watford FC
2,(Sat) 19 Aug 2017 (33),Burnley FC,0,1,0,0,West Bromwich Albion FC,,Burnley FC,West Bromwich Albion FC,Burnley FC  Vs. West Bromwich Albion FC
